,Region_name,Importace
630,FS_R_Bankssts_ThckStd,0.2879639603802722
308,FS_OpticChiasm_Max,0.2861093078642509
937,Release_Q1,0.28430521638061873
275,FS_R_Amygdala_Max,0.28233892618058953
124,FS_3rdVent_Std,0.280385307991762
581,FS_R_Pericalcarine_GrayVol,0.2800725725690484
356,FS_L_Transversetemporal_Thck,0.2773739373819433
243,FS_L_ChoroidPlexus_Range,0.2769789131077037
763,FS_L_Temporalpole_GausCurv,0.2768310985815401
233,FS_CSF_Max,0.27637785288389943
809,FS_L_Lateraloccipital_FoldInd,0.276129130017449
459,FS_R_Insula_Area,0.27526532232070244
271,FS_R_Hippo_Min,0.2744256244401275
564,FS_R_Caudalmiddlefrontal_GrayVol,0.2743722419963398
666,FS_L_Caudalmiddlefrontal_MeanCurv,0.27400303371335594
560,FS_L_Transversetemporal_GrayVol,0.2715394983822312
600,FS_L_Entorhinal_ThckStd,0.2706144622740433
274,FS_R_Amygdala_Min,0.2702868763077354
688,FS_L_Rostralanteriorcingulate_MeanCurv,0.26912628687575463
19,FS_LH_Defect_Holes,0.26812101079191625
704,FS_R_Inferiorparietal_MeanCurv,0.2650743634239706
548,FS_L_Postcentral_GrayVol,0.26497365359231895
910,FS_R_Isthmuscingulate_CurvInd,0.264405866216157
737,FS_L_Fusiform_GausCurv,0.2633676693284045
645,FS_R_Paracentral_ThckStd,0.2616442255020857
45,FS_R_Caudate_Vol,0.2615940326837215
88,FS_R_Caudate_Vox,0.2615140536504122
894,FS_L_Superiorfrontal_CurvInd,0.2595123735973212
244,FS_L_ChoroidPlexus_Min,0.2594197364860142
841,FS_R_Inferiortemporal_FoldInd,0.2592645522081389
94,FS_R_VentDC_Vox,0.2585698695236585
51,FS_R_VentDC_Vol,0.2584442034931636
194,FS_CC_Anterior_Std,0.2570511828332469
333,FS_L_Lateraloccipital_Thck,0.256695874808157
141,FS_L_ChoroidPlexus_Mean,0.25646610570782485
924,FS_R_Precentral_CurvInd,0.2539576601300194
684,FS_L_Postcentral_MeanCurv,0.2527714180805349
324,FS_L_Bankssts_Thck,0.2525930927546878
699,FS_R_Caudalanteriorcingulate_MeanCurv,0.25118324189239205
527,FS_R_Insula_NumVert,0.24913739146304845
859,FS_R_Rostralmiddlefrontal_FoldInd,0.24889619683634645
258,FS_R_ThalamusProper_Range,0.24805079465878463
619,FS_L_Precuneus_ThckStd,0.2479835771796092
571,FS_R_Lateraloccipital_GrayVol,0.24677614084539354
678,FS_L_Parahippocampal_MeanCurv,0.24659233871481234
868,FS_L_Bankssts_CurvInd,0.24632738312697208
739,FS_L_Inferiortemporal_GausCurv,0.24614189863699212
329,FS_L_Fusiform_Thck,0.2459627288408949
268,FS_R_Pallidum_Min,0.24587215460949466
489,FS_L_Supramarginal_NumVert,0.24579940210483517
208,FS_L_Caudate_Min,0.24567046156858197
657,FS_R_Superiorparietal_ThckStd,0.2455619314409682
830,FS_L_Frontalpole_FoldInd,0.245488077036244
757,FS_L_Rostralmiddlefrontal_GausCurv,0.24532472511466097
687,FS_L_Precuneus_MeanCurv,0.24376979961568257
906,FS_R_Entorhinal_CurvInd,0.24347749218196468
284,FS_R_Vessel_Max,0.2433639978289326
629,FS_L_Insula_ThckStd,0.24244690200194818
508,FS_R_Parahippocampal_NumVert,0.24166171070313044
121,FS_L_Pallidum_Mean,0.24098371021244025
423,FS_L_Temporalpole_Area,0.24078623941050842
498,FS_R_Entorhinal_NumVert,0.2406901046645966
900,FS_L_Transversetemporal_CurvInd,0.2404422599822018
47,FS_R_Pallidum_Vol,0.23789788933200776
561,FS_L_Insula_GrayVol,0.23770998071649616
151,FS_R_ThalamusProper_Mean,0.23754446591332495
90,FS_R_Pallidum_Vox,0.2373297673349226
257,FS_L_Cerebellum_Cort_Max.1,0.2366744076739649
78,FS_CSF_Vox,0.23603562913372672
35,FS_CSF_Vol,0.23560561914800818
835,FS_R_Caudalanteriorcingulate_FoldInd,0.23505175728892722
450,FS_R_Rostralanteriorcingulate_Area,0.2320811609941063
206,FS_L_ThalamusProper_Max,0.23207081174844868
810,FS_L_Lateralorbitofrontal_FoldInd,0.2319130979181501
256,FS_L_Cerebellum_Cort_Min.1,0.2309888673202691
494,FS_R_Bankssts_NumVert,0.22981044742151707
373,FS_R_Paracentral_Thck,0.2295892594875743
115,FS_L_ThalamusProper_Mean,0.2288054537324084
555,FS_L_Superiorparietal_GrayVol,0.22873019693008312
552,FS_L_Rostralanteriorcingulate_GrayVol,0.2275982781822316
588,FS_R_Superiorfrontal_GrayVol,0.22594485131938583
190,FS_CC_Central_Std,0.2258347614970762
716,FS_R_Parstriangularis_MeanCurv,0.22435337862344595
545,FS_L_Parsorbitalis_GrayVol,0.22405683502190576
936,Release_MEG2,0.22353223193408495
0,Subject,0.22309036468491292
656,FS_R_Superiorfrontal_ThckStd,0.22190638071555088
525,FS_R_Temporalpole_NumVert,0.22150021947837878
259,FS_R_ThalamusProper_Min,0.22136075974098898
228,FS_L_Amygdala_Range,0.22118176856393165
638,FS_R_Isthmuscingulate_ThckStd,0.22052965572184235
614,FS_L_Parstriangularis_ThckStd,0.21989197689888937
370,FS_R_Medialorbitofrontal_Thck,0.21985694626926214
721,FS_R_Precuneus_MeanCurv,0.21824888513903193
144,FS_R_LatVent_Std,0.21815129671767708
279,FS_R_VentDC_Range,0.21796358091471046
352,FS_L_Superiortemporal_Thck,0.21596115918651718
143,FS_R_LatVent_Mean,0.21579471420489976
328,FS_L_Entorhinal_Thck,0.21500647915457102
264,FS_R_Putamen_Range,0.21378678774908852
147,FS_R_Cerebellum_WM_Mean,0.21349583746416778
874,FS_L_Inferiorparietal_CurvInd,0.2129667127620201
430,FS_R_Entorhinal_Area,0.2127861955052856
579,FS_R_Parsorbitalis_GrayVol,0.21273190379706036
335,FS_L_Lingual_Thck,0.21189744565634416
492,FS_L_Transversetemporal_NumVert,0.21153843030847316
652,FS_R_Precentral_ThckStd,0.2094264853599533
532,FS_L_Entorhinal_GrayVol,0.20908966839076076
789,FS_R_Precuneus_GausCurv,0.20762997073369238
338,FS_L_Parahippocampal_Thck,0.20414693237365159
